1996 World Champion,CC,Il faut beaucoup de sacrifice pour arriver au sommet.,, 
Sangrite Backlash,ARB,"« La sangrite est le cœur vivant du dragon. Il n'est donc pas surprenant que tant de poitrines d'imbéciles explosent en essayant de la contenir. »
—Sarkhan Vol",,
Sangrite Surge,ALA,Il y en a qui croient que le cristal épineux appelé sangrite est un souffle de dragon concentré. D'autres pensent qu'il s'agit d'énergie vitale cristallisée. Les clans s'intéressent seulement à la puissance qu'il libère quand il est écrasé.,,
Sangrophage,TSP,Il ne dévore que la vie.,,
Sanguinary Mage,SOI,"De nouveaux cultes apparus en Néphalie ont reçu le soutien de la lignée Stromkirk, dont le progéniteur vénère de terribles forces ancestrales.",,
Sanguine Bond,C13,"« Le sang est une constante. Pour chaque goutte que je bois, quelqu'un saigne. »
—Vradeen, nocturnus vampire",,
Sanguine Bond,M10,"« Le sang est une constante. Pour chaque goutte que je bois, quelqu'un saigne. »
—Vradeen, nocturnus vampire",,
Sanguine Bond,M14,"« Le sang est une constante. Pour chaque goutte que je bois, quelqu'un saigne. »
—Vradeen, nocturnus vampire",,
Sanguine Guard,DDE,"Oh Père des machines ! Ton regard nous grave en filigrane, et les cicatrices dansent sur notre chair reconnaissante.
—Les Saintes Écritures Phyrexianes.",,
Sanguine Guard,PVC,"Oh Père des machines ! Ton regard nous grave en filigrane, et les cicatrices dansent sur notre chair reconnaissante.
—Les Saintes Écritures Phyrexianes.",,
Sanguine Guard,US,"Oh Père des machines ! Ton regard nous grave en filigrane, et les cicatrices dansent sur notre chair reconnaissante.
—Les Saintes Écritures Phyrexianes.",,
Sanguine Praetor,GP,"« Notre loyauté envers les guildes nous condamne. Les anciens dieux vont revenir. Nos peaux claqueront tels des drapeaux sur des mâts dans les rues vides, et nos os tinteront au gré du vent. »
—Ilromov, conteur itinérant",,
Sanitarium Skeleton,SOI,Il avait perdu l'esprit bien avant de rendre l'âme.,,
Sanity Gnawers,ARB,La dernière pensée qui traverse l'esprit de leur victime est celle qu'ils arrachent à son crâne.,,
Sapling of Colfenor,EVE,Ses plans n'ont pas encore fructifié.,,
Sapphire Drake,GTC,Les drakôns de saphir peuvent communiquer sur d'immenses distances ; leurs appels résonnent dans la gemme enchâssée dans leur crâne.,,
Sapphire Leech,IN,"« Les ailes du sujet sont vestigiales. Nous soupçonnons les gemmes de le faire flotter. »
—Notes scientifiques, Tolaria.",,
Saprazzan Heir,MM,"À l'intérieur des murs de la cité flottante ; la richesse saprazzoise est comme son eau : abondante, libre et accessible à tous.",,
Saprazzan Outrigger,MM,"Les Saprazzois ont deux spécialités, l'attaque et la fuite.",,
Saprazzan Raider,MM,Un coup de dague et retour à la mer. Voilà comment les Saprazzois travaillent.,,
Saproling Infestation,IN,"« Il m'a fallu des siècles pour constituer une armée », remarqua Urza. « Et la Yavimaya semble les conjurer de l'air du temps. »",,
Sarcomite Myr,FUT,"« Une vision horrible, certes, mais les sons émis par ses tendons et ses rouages sont presque musicaux. »
—Brudiclad, ingénieur telchor",,
Sarcomite Myr,HOP,"« Une vision horrible, certes, mais les sons émis par ses tendons et ses rouages sont presque musicaux. »
—Brudiclad, ingénieur telchor",,
Sarkhan's Rage,DTK,"Les habitants de Tarkir racontent une vieille légende, celle d'un homme-dragon nommé Sarkhan, le plus grand de tous les khans.",,
Sarkhan's Triumph,DTK,Sarkhan sentit la joie embraser son âme tandis qu'il contemplait le monde qui l'entourait et le ciel empli de dragons.,,
"Sarpadian Empires, Vol. VII",TSP,"Le passé vit encore dans ses pages, attendant le bon moment pour ressurgir.",,
Saruli Gatekeepers,DGM,"Dans les circonscriptions reculées de Ravnica, la nature n'a pas renoncé, et ses protecteurs prennent leur rôle très au sérieux.",,
Satyr Firedancer,BNG,"Son cœur, du charbon ; son regard, une étincelle ; sa main, une flamme tournoyante.",,
Satyr Grovedancer,JOU,"« Certains de mes congénères dansent égoïstement, sans autre objectif. Nyléa me donne un but, et avec lui la force. »",,
Satyr Hedonist,DDL,« Une fête qui laisse les convives en état de partir n'en vaut jamais la peine. »,,
Satyr Hedonist,HVM,« Une fête qui laisse les convives en état de partir n'en vaut jamais la peine. »,,
Satyr Hedonist,THS,« Une fête qui laisse les convives en état de partir n'en vaut jamais la peine. »,,
Satyr Hoplite,JOU,« Xénagos est devenu ce qu'il méprisait jadis : un tyran et un oppresseur. »,,
Satyr Piper,THS,"« Quand j'ai demandé à mon commandant s'il y avait une récompense pour tuer ce cafard fringant, il m'a répondu 'Aucune ! Je tiens à le tuer de mes mains !' »
—Phrogas, soldat d'Akros",,
Satyr Rambler,THS,"Un satyre vit sans attache : ni foyer, ni famille, ni loyauté.",,
Satyr Wayfinder,BNG,Le premier satyre qui s'éveille après une orgie doit trouver le lieu de la suivante.,,
Satyr Wayfinder,C15,Le premier satyre qui s'éveille après une orgie doit trouver le lieu de la suivante.,,
Satyr Wayfinder,M15,Le premier satyre qui s'éveille après une orgie doit trouver le lieu de la suivante.,,
Savaen Elves,DK,"« La pureté de magie peut seulement venir de la pureté de la terre). Comment un repas peu nourrir si les ingrédients sont gâtés. »
—Sidaine de Savaen",,
Savage Conception,EVE,Certaines bêtes ont pour mère la magie.,,
Savage Gorilla,AP,Ces gorilles omnivores suivent un régime composé à parts égales de fruits et de Phyrexians.,,
Savage Lands,ALA,Jund est un monde aussi cruel que ses habitants. Leurs luttes brutales blessent la terre à mesure qu'elle les façonne à son image...Un cercle vicieux qui échappe à tout contrôle.,,
Savage Lands,C13,Jund est un monde aussi cruel que ses habitants. Leurs luttes brutales blessent la terre à mesure qu'elle les façonne à son image...Un cercle vicieux qui échappe à tout contrôle.,,
Savage Lands,FNM,Jund est un monde aussi cruel que ses habitants. Leurs luttes brutales blessent la terre à mesure qu'elle les façonne à son image...Un cercle vicieux qui échappe à tout contrôle.,,
Savage Silhouette,ZEN,Certains elfes croient que leur instinct de survie résulte de nombreux cycles de réincarnation.,,
Savage Surge,RTR,Inutile d'argumenter avec des guerriers Gruul pour qu'ils se battent. Il suffit de leur indiquer où a lieu le combat.,,
Savage Surge,THS,"« Je croyais qu'il me tournait le dos ! »
« Un centaure en a deux ! »",,
Savage Twister,ARC,"« La nature est le destructeur ultime, capable d'une force et d'une férocité inégalées par nos armées. Et les Gruul suivent son exemple. »
—Trigori, sénateur d'Azorius",,
Savage Twister,C13,"« La nature est le destructeur ultime, capable d'une force et d'une férocité inégalées par nos armées. Et les Gruul suivent son exemple. »
—Trigori, sénateur d'Azorius",,
Savage Twister,CMD,"« Figés, nous avons vu la tornade cueillir trois des chèvres — poc ! Poc ! Poc ! — avant de prendre la fuite en direction du wadi. »
—Journal de voyage de Najat",,
Savage Twister,GP,"« La nature est le destructeur ultime, capable d'une force et d'une férocité inégalées par nos armées. Et les Gruul suivent son exemple. »
—Trigori, sénateur d'Azorius",,
Savage Twister,HOP,"« La nature est le destructeur ultime, capable d'une force et d'une férocité inégalées par nos armées. Et les Gruul suivent son exemple. »
—Trigori, sénateur d'Azorius",,
Savage Twister,MI,"« Glacés d'effroi, nous vîmes la trombe de la tornade aspirer trois des chèvres - plop ! plop ! plop ! - avant que nous ne courrions vers l'oued. »
—Le très véridique voyage de Nadjat.",,
Savage Twister,MM2,"« La nature est le destructeur ultime, capable d'une force et d'une férocité inégalées par nos armées. Et les Gruul suivent son exemple. »
—Trigori, sénateur d'Azorius",,
Savannah Lions,4E,"Les traditionnels rois de la jungle imposent également le respect sous d'autres climats. C'est grâce à leur agilité et leur rapidité que les lions des savanes peuvent prendre une victime par surprise, même dans les plaines monotones et plates de leur pays natal.",,
Savannah Lions,8E,"Par trois fois, le plus brave est effrayé par le lion : d'abord en voyant ses traces, ensuite en entendant son rugissement, et finalement en l'affrontant.
—Proverbe somalien",,
Savannah Lions,9E,"Par trois fois, le plus brave est effrayé par le lion : d'abord en voyant ses traces, ensuite en entendant son rugissement, et finalement en l'affrontant.
—Proverbe somalien",,
Savannah Lions,A,"Par trois fois, le plus brave est effrayé par le lion : d'abord en voyant ses traces, ensuite en entendant son rugissement, et finalement en l'affrontant.
—Proverbe somalien",,
Savannah Lions,B,"Par trois fois, le plus brave est effrayé par le lion : d'abord en voyant ses traces, ensuite en entendant son rugissement, et finalement en l'affrontant.
—Proverbe somalien",,
Savannah Lions,ME4,"Par trois fois, le plus brave est effrayé par le lion : d'abord en voyant ses traces, ensuite en entendant son rugissement, et finalement en l'affrontant.
—Proverbe somalien",,
Savannah Lions,R,"Les traditionnels rois de la jungle imposent également le respect sous d'autres climats. C'est grâce à leur agilité et leur rapidité que les lions des savanes peuvent prendre une victime par surprise, même dans les plaines monotones et plates de leur pays natal.",,
Savannah Lions,U,"Par trois fois, le plus brave est effrayé par le lion : d'abord en voyant ses traces, ensuite en entendant son rugissement, et finalement en l'affrontant.
—Proverbe somalien",,
Saving Grasp,DKA,Rien n'est plus important qu'une planification impeccable.,,
Savor the Moment,SHM,La suire prit un moment pour se recueillir. Elle ne le rendit jamais.,,
"Savra, Queen of the Golgari",RAV,"« La beauté de la nature à l'état pur se retrouve dans le cercle : une continuation parfaite, aucune interruption entre la mort et la vie. »",,
Sawtooth Ogre,WL,"« Vous aiguiserez vos dents sur les os de mes ennemis », leur promit Maraxus, et ses orges se réjouiront en battant le sol de leurs pieds nus.",,
Scab-Clan Charger,GTC,« Les seules routes que je souhaite voir sont celles qui ont été tracées par des sabots sauvages. »,,
Scab-Clan Giant,DGM,"Chez les Gruul, la rage destructrice est la priorité numéro un. La précision arrive bien loin derrière.",,
Scab-Clan Mauler,GP,Ils infligent la souffrance pour oublier la leur et brisent leurs ennemis pour se sentir complets.,,
Scald,US,"« Shiv est peut-être entouré d'eau, mais les montagnes vont plus profond. »
—Œil de feu, bey viashino.",,
Scalding Devil,AVR,Les démons massacrent. Les diables usent.,,
Scalding Tongs,TE,"Peu m'importe ce que tu sais, dis moi plutôt ce que je veux.
—Wöhlrajh.",,
Scaldkin,KTK,Les Temur croient que les pyrocendres naissent lorsque l'éruption fait fondre les murmures gelés d'ancêtres endormis.,,
Scale Blessing,DTK,"« Ton courage nous honore tous. »
—Dromoka, traduit du draconique",,
Scalebane's Elite,VI,"« Avec les lames de Rashida, ma vision presciente et la chance de ceux qui sont bénis, aujourd'hui nous libérerons Mangara! »
—Azmira, Sainte vengeresse.",,
Scaled Hulk,BOK,"« Dis, qu'est-ce qui rime avec ‘sauve qui peut' ? »
—Ku-Ku, poète akki",,
Scaled Wurm,5E,"« Florissantes pendant l'Ère glaciaire, ces guivres furent un fléau pour les Kjeldoriens. Gigantesques et féroces, elles hantaient les pires cauchemars —elles incarnaient le pire de cet âge de glace. »
—le Kjeldor : civilisation glaciaire.",,
Scaled Wurm,6E,"« Florissantes pendant l'Ère glaciaire, ces guivres furent un fléau pour les Kjeldoriens. Gigantesques et féroces, elles hantaient les pires cauchemars —elles incarnaient le pire de cet âge de glace. »
—Le Kjeldor : civilisation glaciaire.",,
Scaled Wurm,9E,Les guivres étaient devenues si grandes qu'une seule de leurs écailles suffisait pour couvrir une habitation humaine.,,
Scaled Wurm,BD,Les guivres étaient devenues si grandes qu'une seule de leurs écailles suffisait pour couvrir une habitation humaine.,,
Scaled Wurm,BR,Les guivres étaient devenues si grandes qu'une seule de leurs écailles suffisait pour couvrir une habitation humaine.,,
Scaled Wurm,BRB,"« Florissantes pendant l'Ère glaciaire, ces guivres furent un fléau pour les Kjeldoriens. Gigantesques et féroces, elles hantaient les pires cauchemars —elles incarnaient le pire de cet âge de glace. »
—le Kjeldor : civilisation glaciaire.",,
Scaled Wurm,CNS,Les guivres étaient devenues si grandes qu'une seule de leurs écailles suffisait pour couvrir une habitation humaine.,,
Scaled Wurm,IA,"« Florissantes pendant l'Ère glaciaire, ces guivres furent le fléau de tous les kjeldoriens. Leur grande taille et leur férocité hantaient les pires cauchemars—elles incarnaient le pire de cet âge des glaces. »
—le Kjeldor : civilisation glaciaire.",,
Scandalmonger,MM,Le silence est d'or. Le briser coûte plus encore.,,
Scapegoat,SH,"« Savoure ta supercherie, Vuel. » dit Gerrard tandis que l'apparence de Wöhlrajh quittait le corps du changeforme mort. « Celui-ci m'aura sorti d'entrainement. »",,
Scapeshift,MOR,"« Des changements bien plus importants que la chute des feuilles nous attendent en fin de saison. »
—Colfénor, le dernier if",,
Scar,SHM,"« Qu'est-ce qu'une cicatrice ? Un signe de courage face au danger ? Un caprice de la peau ? Ou le rappel constant d'une atroce douleur, et de la folie de la guerre ? »
—Illulia des Noctâtres",,
Scarblade Elite,MOR,"« Réjouis-toi, dysmèle. Pour quelques heures, tes fossoyeurs feront au moins de toi une créature de beauté avant de t'ensevelir. »",,
Scare Tactics,EX,"« La peur gouverne ceux qui sont assez faibles pour y succomber. »
—Grévën, il-Vec.",,
Scarecrone,EVE,Ses fantogres apportent la joie aux plus dépravés.,,
Scarecrow,DK,Il y avait plus de malice dans ses yeux en bouton que n'aurrai du avoir quelque chose qui n'avait jamais connu de vie.,,
Scarecrow,ME4,Il y avait plus de malice dans ses yeux en bouton que n'aurrai du avoir quelque chose qui n'avait jamais connu de vie.,,
Scarland Thrinax,C13,"« Il n'y a qu'une façon de vivre sur Jund : dévorer les plus faibles jusqu'à succomber à plus fort que soi. »
—Jorshu du clan Nel Toth",,
Scarland Thrinax,CFX,"« Il n'y a qu'une façon de vivre sur Jund : dévorer les plus faibles jusqu'à succomber à plus fort que soi. »
—Jorshu du clan Nel Toth",,
Scarred Puma,IN,Il n'a guère envie de perdre un autre œil.,,
Scarred Vinebreeder,LRW,"Pour les elfes défigurés, il n'y a pas d'autres choix que la mort ou l'ortilierre.",,
Scarscale Ritual,SHM,Certains mots sont trop importants pour les confier à une chose aussi fragile que la mémoire.,,
Scarwood Goblins,DK,"Plus grand et plus rusé que la plupart des Gobelins, les gobelins de Brèchebois ne se trouvent heureusement que dans des lieux isolées.",,
Scarwood Treefolk,TSP,"Le sens du passage du temps est tel pour les sylvins que des âges leur paraissent des heures. Ils ont été les témoins de l'apocalypse, des années qu'ils vécurent comme un instant de cacophonie ultra-destructrice.",,
